|ORDEN|FECHA_APERTURA|FECHA_CIERRE|MEDIODEPAGO|PRODUCTO|CANTIDAD|COMENSALES|PrecioConImpuesto|TotalPropina
0|10173|2025-12-31 09:26:12|2025-12-31 11:04:25|Tarjetas|Americano|1|2.0|8000|3046
1|10173|2025-12-31 09:26:12|2025-12-31 11:04:25|Tarjetas|Jugo Mandarina|1|2.0|12500|3046
2|10173|2025-12-31 09:26:12|2025-12-31 11:04:25|Tarjetas|Pandeyuca|2|2.0|12400|3046
3|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|'===================='|1|4.0|0|18630
4|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|Bowl Con Yogurt|1|4.0|25500|18630
5|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|Capuccino Taza Grande|1|4.0|14300|18630
6|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|Huevo Migas Enchiladas|1|4.0|28500|18630
7|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|Huevos Barrio|1|4.0|27300|18630
8|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|Hv Estrellados La Cest|1|4.0|26300|18630
9|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|Jugo Piña Hierbabuena|1|4.0|10500|18630
10|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|Milo Caliente|1|4.0|10500|18630
11|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|Milo Frio|1|4.0|11300|18630
12|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|Pancakes Frutos Rojos|1|4.0|24400|18630
13|10174|2025-12-31 09:40:05|2025-12-31 11:03:52|Tarjetas|Waffle Carne|1|4.0|22600|18630
14|10176|2025-12-31 09:51:31|2025-12-31 11:47:51|Tarjetas|Arepa Al Galope|1|4.0|29700|11741
15|10176|2025-12-31 09:51:31|2025-12-31 11:47:51|Tarjetas|Bowl Con Yogurt|1|4.0|25500|11741
16|10176|2025-12-31 09:51:31|2025-12-31 11:47:51|Tarjetas|Capuccino Taza Grande|1|4.0|14300|11741
17|10176|2025-12-31 09:51:31|2025-12-31 11:47:51|Tarjetas|Huevos Barrio|1|4.0|27300|11741
18|10176|2025-12-31 09:51:31|2025-12-31 11:47:51|Tarjetas|Latte.|1|4.0|10000|11741
19|10176|2025-12-31 09:51:31|2025-12-31 11:47:51|Tarjetas|Latte.|2|4.0|20000|11741
20|10177|2025-12-31 09:57:25|2025-12-31 11:04:13|Tarjetas|Aromatica de Frutas|1|1.0|6500|602
21|10178|2025-12-31 10:03:51|2025-12-31 11:47:06|Tarjetas|Adc. Champinon|1|4.0|8100|0
22|10178|2025-12-31 10:03:51|2025-12-31 11:47:06|Tarjetas|Huevo Migas Enchiladas|1|4.0|28500|0
23|10178|2025-12-31 10:03:51|2025-12-31 11:47:06|Tarjetas|Huevos Enchilados|1|4.0|32000|0
24|10178|2025-12-31 10:03:51|2025-12-31 11:47:06|Tarjetas|Jugo de Naranja|1|4.0|12500|0
25|10178|2025-12-31 10:03:51|2025-12-31 11:47:06|Tarjetas|Jugo Mandarina|1|4.0|12500|0
26|10178|2025-12-31 10:03:51|2025-12-31 11:47:06|Tarjetas|Jugo Mora Agua|1|4.0|10500|0
27|10178|2025-12-31 10:03:51|2025-12-31 11:47:06|Tarjetas|Porcion Pan Baguette|1|4.0|3600|0
28|10178|2025-12-31 10:03:51|2025-12-31 11:47:06|Tarjetas|Waffle Carne|1|4.0|22600|0
29|10179|2025-12-31 10:19:17|2025-12-31 11:32:11|Tarjetas|Americano|1|2.0|8000|5796
30|10179|2025-12-31 10:19:17|2025-12-31 11:32:11|Tarjetas|Chocolate Local|1|2.0|11800|5796
31|10179|2025-12-31 10:19:17|2025-12-31 11:32:11|Tarjetas|Hv Estrellados La Cest|1|2.0|26300|5796
32|10179|2025-12-31 10:19:17|2025-12-31 11:32:11|Tarjetas|Porcion Torta Almojaba|1|2.0|16500|5796
33|10180|2025-12-31 10:21:39|2025-12-31 11:03:36|Mastercard|Aromatica de Frutas|2|2.0|13000|1204
34|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Adc. Tocineta|1|8.0|9300|31167
35|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Arepa Al Galope|1|8.0|59400|62333
36|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Cesta De Pan|1|8.0|52200|62333
37|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Chocolate Local|1|8.0|35400|93500
38|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Coca-Cola|1|8.0|8500|31167
39|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Coca-Cola Zero|1|8.0|8500|31167
40|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Huevos A La Italiana|1|8.0|52600|62333
41|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Jugo Mandarina|1|8.0|12500|31167
42|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Pancake Infantil|1|8.0|13100|31167
43|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Porcion Pan Baguette|1|8.0|3600|31167
44|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Soda Frutos Rojos|1|8.0|16000|31167
45|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Tostada  Francesa|1|8.0|19700|31167
46|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Waffle Huevo y Tocinet|1|8.0|21500|31167
47|10181|2025-12-31 10:24:42|2025-12-31 11:47:19|Mastercard|Waffle Mango Marac|1|8.0|24300|31167
48|10182|2025-12-31 10:30:49|2025-12-31 11:47:30|Mastercard|Agua Botella|1|2.0|7800|3361
49|10182|2025-12-31 10:30:49|2025-12-31 11:47:30|Mastercard|Americano|2|2.0|16000|3361
50|10182|2025-12-31 10:30:49|2025-12-31 11:47:30|Mastercard|Jugo de Naranja|1|2.0|12500|3361
51|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|adc. fresa|1|2.0|2200|19759
52|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|Americano Doble|2|2.0|21000|19759
53|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|Bowl De Frutas|1|2.0|18200|19759
54|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|Capuccino Taza Grande|2|2.0|28600|19759
55|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|Cesta De Pan|1|2.0|26100|19759
56|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|Croque La Cesta|1|2.0|32000|19759
57|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|Hv Estrellados La Cest|1|2.0|26300|19759
58|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|Jugo de Naranja|1|2.0|12500|19759
59|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|Mimosa Naranja|1|2.0|21500|19759
60|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|Pan.Sour.Doug.Trigo|1|2.0|11900|19759
61|10183|2025-12-31 10:31:31|2025-12-31 11:46:55|Mastercard|Pancake Infantil|1|2.0|13100|19759
62|10184|2025-12-31 10:39:06|2025-12-31 11:52:51|Efectivo|Calentado|1|1.0|36500|5259
63|10184|2025-12-31 10:39:06|2025-12-31 11:52:51|Efectivo|Chocolate Local|1|1.0|11800|5259
64|10184|2025-12-31 10:39:06|2025-12-31 11:52:51|Efectivo|Coca-Cola Zero|1|1.0|8500|5259
65|10185|2025-12-31 10:48:28|2025-12-31 12:01:40|Mastercard|Adc. Aguacate|1|2.0|6600|7222
66|10185|2025-12-31 10:48:28|2025-12-31 12:01:40|Mastercard|Chocolate Local|2|2.0|23600|7222
67|10185|2025-12-31 10:48:28|2025-12-31 12:01:40|Mastercard|Hv Estrellados La Cest|1|2.0|26300|7222
68|10185|2025-12-31 10:48:28|2025-12-31 12:01:40|Mastercard|Waffle Huevo y Tocinet|1|2.0|21500|7222
69|10186|2025-12-31 10:51:03|2025-12-31 11:48:03|Tarjetas|Americano|1|0.0|8000|0
70|10186|2025-12-31 10:51:03|2025-12-31 11:48:03|Tarjetas|Waffle Mango Marac|1|0.0|24300|0
71|10187|2025-12-31 10:53:15|2025-12-31 11:57:48|Efectivo|Agua Botella|1|3.0|7800|5241
72|10187|2025-12-31 10:53:15|2025-12-31 11:57:48|Efectivo|Pancake Infantil|1|3.0|26200|10481
73|10187|2025-12-31 10:53:15|2025-12-31 11:57:48|Efectivo|Waffle Carne|1|3.0|22600|5241
74|10188|2025-12-31 11:21:26|2025-12-31 14:03:38|Tarjetas|Chocolate Local|1|1.0|11800|6213
75|10188|2025-12-31 11:21:26|2025-12-31 14:03:38|Tarjetas|Huevos Barrio|1|1.0|27300|6213
76|10188|2025-12-31 11:21:26|2025-12-31 14:03:38|Tarjetas|Sopa Mexicana|1|1.0|28000|6213
77|10190|2025-12-31 12:01:04|2025-12-31 14:04:10|Mastercard|'===================='|1|2.0|0|14611
78|10190|2025-12-31 12:01:04|2025-12-31 14:04:10|Mastercard|Bowl De Salmon|1|2.0|56600|14611
79|10190|2025-12-31 12:01:04|2025-12-31 14:04:10|Mastercard|Bowl Oriental|1|2.0|41600|14611
80|10190|2025-12-31 12:01:04|2025-12-31 14:04:10|Mastercard|Caldo De Costilla La C|1|2.0|35200|14611
81|10190|2025-12-31 12:01:04|2025-12-31 14:04:10|Mastercard|Croissant Choco Almend|1|2.0|13500|14611
82|10190|2025-12-31 12:01:04|2025-12-31 14:04:10|Mastercard|Jugo Verde|1|2.0|10900|14611
83|10191|2025-12-31 12:01:56|2025-12-31 14:03:50|Mastercard|Latte.|1|1.0|10000|3287
84|10191|2025-12-31 12:01:56|2025-12-31 14:03:50|Mastercard|MINI TORTA ZANAHORIA|1|1.0|25500|3287
85|10192|2025-12-31 12:19:46|2025-12-31 14:04:21|Mastercard|Adc. Papa Francesa|1|4.0|14400|38926
86|10192|2025-12-31 12:19:46|2025-12-31 14:04:21|Mastercard|Coca-Cola|2|4.0|17000|19463
87|10192|2025-12-31 12:19:46|2025-12-31 14:04:21|Mastercard|Jugo de Naranja|1|4.0|12500|19463
