ORDEN,FECHA_APERTURA,FECHA_CIERRE,MEDIODEPAGO,PRODUCTO,CANTIDAD,COMENSALES,PrecioConImpuesto,TotalPropina
10173,2025-12-31 09:26:12,2025-12-31 11:04:25,Tarjetas,Americano,1,2,8000,3046
10173,2025-12-31 09:26:12,2025-12-31 11:04:25,Tarjetas,Jugo Mandarina,1,2,12500,3046
10173,2025-12-31 09:26:12,2025-12-31 11:04:25,Tarjetas,Pandeyuca,2,2,12400,3046
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,'====================',1,4,0,18630
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,Bowl Con Yogurt,1,4,25500,18630
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,Capuccino Taza Grande,1,4,14300,18630
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,Huevo Migas Enchiladas,1,4,28500,18630
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,Huevos Barrio,1,4,27300,18630
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,Hv Estrellados La Cest,1,4,26300,18630
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,Jugo Piña Hierbabuena,1,4,10500,18630
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,Milo Caliente,1,4,10500,18630
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,Milo Frio,1,4,11300,18630
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,Pancakes Frutos Rojos,1,4,24400,18630
10174,2025-12-31 09:40:05,2025-12-31 11:03:52,Tarjetas,Waffle Carne,1,4,22600,18630
10176,2025-12-31 09:51:31,2025-12-31 11:47:51,Tarjetas,Arepa Al Galope,1,4,29700,11741
10176,2025-12-31 09:51:31,2025-12-31 11:47:51,Tarjetas,Bowl Con Yogurt,1,4,25500,11741
10176,2025-12-31 09:51:31,2025-12-31 11:47:51,Tarjetas,Capuccino Taza Grande,1,4,14300,11741
10176,2025-12-31 09:51:31,2025-12-31 11:47:51,Tarjetas,Huevos Barrio,1,4,27300,11741
10176,2025-12-31 09:51:31,2025-12-31 11:47:51,Tarjetas,Latte.,1,4,10000,11741
10176,2025-12-31 09:51:31,2025-12-31 11:47:51,Tarjetas,Latte.,2,4,20000,11741
10177,2025-12-31 09:57:25,2025-12-31 11:04:13,Tarjetas,Aromatica de Frutas,1,1,6500,602
